English,Türkçe
somebody,biri
body,vücut
afraid,korkmuş
sleep,uyumak
chance,şans
dear,Sayın
quite,epeyce
four,dört
anyway,Neyse
close,kapalı
party,Parti
fun,eğlence
against,aykırı
word,kelime
important,önemli
set,ayarlamak
story,hikaye
number,sayı
daughter,kız çocuğu
waiting,beklemek
hurt,acıtmak
wish,dilek
moment,an
fight,kavga
week,hafta
husband,koca
girls,kızlar
rest,dinlenmek
married,evli
fire,ateş
game,oyun
nobody,hiç kimse
mr,Bay
children,çocuklar
side,taraf
stand,durmak
read,Okumak
though,Yine de
cut,kesmek
started,başlayan
sister,kız kardeş
supposed,sözde
between,arasında
child,çocuk
goes,gitmek
hours,saat
speak,konuşmak
women,kadınlar
behind,arka
almost,neredeyse
truth,gerçek
blood,kan
able,hünerli
lady,bayan
anymore,artık değil
playing,oynama
gets,yakmak
shot,atış
reason,sebep
trouble,bela
break,kırmak
war,savaş
city,şehir
walk,yürümek
town,şehir
trust,güven
dr.,dr.
met,tanışmak
office,ofis
question,soru
brought,getirilmiş
yours,seninki
welcome,Hoş geldin
high,yüksek
wow,Vay
couple,çift
half,yarım
died,ölü
cool,Serin
free,özgür
either,herhangi biri
seems,öyle gibi
power,güç
whoa,whoa
bye,Hoşçakal
buy,satın almak
telling,söylüyorum
honey,Bal
tried,sınanmış
front,ön
team,takım
answer,cevap
gun,silah
boys,erkekler
line,astar
send,Göndermek
news,haberler
stupid,aptal
bed,yatak
hurry,acele etmek
full,tam dolu
months,aylar
save,kaydetmek
sometimes,Bazen
become,haline gelmek
along,birlikte
hate,nefret
food,yiyecek
outside,dıştan
light,ışık
l,L
needs,ihtiyaç
dog,köpek
country,ülke
clear,temizlemek
order,emir
em,EM
fact,hakikat
lord,Kral
captain,Kaptan
six,altı
hot,sıcak
funny,eğlenceli
black,siyah
mrs.,bayan.
alive,canlı
pick,seçmek
feeling,his
living,yaşamak
cause,neden
ahead,ilerde
lose,kaybetmek
king,kral
plan,plan
dinner,akşam yemeği
sighs,iç çekiş
sort,düzenlemek
leaving,ayrılma
shouldn,olmamalı
running,koşma
boss,patron
alright,Tamam
promise,söz
taken,alınmış
safe,güvenli
ma,anne
book,kitap
sent,gönderilmiş
white,beyaz
hour,saat
anybody,kimse
small,küçük
perfect,mükemmel
cause,neden
lives,hayatları
special,özel
parents,ebeveynler
s,S
john,John
himself,kendisi
perhaps,belki
sounds,sesler
serious,cidden
sick,hasta
company,şirket
ha,Ha
scared,korkmuş
uncle,amca
poor,fakir
red,kırmızı
past,geçmiş
earth,toprak
possible,olası
shoot,film çekmek
touch,dokunmak
sound,ses
top,tepe
ass,eşek
laughs,gülerek
cannot,yapamamak
asking,sormak
win,kazanç
glad,memnun
control,kontrol
hmm,Hmm
human,insan
drive,sürmek
hair,saç
jack,palavra
bitch,orospu
luck,şans
murder,cinayet
happens,olmak
air,hava
ten,on
daddy,babacığım
finally,Sonunda
chuckles,kıkırdamalar
fast,hızlı
cold,soğuk
seem,gözükmek
laughing,gülerek
words,kelimeler
hospital,hastane
street,sokak
hang,asmak
dance,dans
meeting,toplantı
till,kadar
others,diğerleri
catch,yakalamak
follow,takip etmek
sense,algı
sex,seks
lie,yalan
evening,akşam
master,usta
known,bilinen
dream,rüya
write,yazmak
million,milyon
voice,ses
sweet,tatlı
rather,yerine
felt,keçe
sign,imza
lucky,şanslı
somewhere,bir yerde
bet,bahis
o,Ö
jesus,isa
longer,uzun
calling,çağrı
worked,çalıştırılmış
quiet,sessizlik
looked,baktı
less,az
pull,çekmek
beat,vurmak
careful,dikkatli olmak
coffee,Kahve
return,geri dönmek
secret,gizli
weeks,haftalar
